railway_route_id,railway_station_id,code,name,address,latitude,longitude
2,1,1110101,函館,北海道函館市若松町１２-１３,41.773709,140.726413
2,2,1110102,五稜郭,函館市亀田本町,41.803557,140.733539
2,3,1110103,桔梗,北海道函館市桔梗３丁目４１-３６,41.846457,140.722952
2,4,1110104,大中山,亀田郡七飯町大字大中山,41.864641,140.71358
2,5,1110105,七飯,亀田郡七飯町字本町,41.886971,140.688556
2,6,1110106,新函館北斗,北海道北斗市市渡,41.9054,140.646525
2,7,1110107,仁山,亀田郡七飯町字仁山,41.930011,140.635183
2,8,1110108,大沼,北海道亀田郡七飯町字大沼町４,41.971954,140.669347
2,9,1110109,大沼公園,北海道亀田郡七飯町字大沼町８５,41.980958,140.669758
2,10,1110110,赤井川,茅部郡森町字赤井川,42.003267,140.642678
2,11,1110111,駒ケ岳,北海道茅部郡森町字駒ヶ岳,42.038809,140.610476
2,12,1110112,東山,茅部郡森町字駒ケ岳,42.06172,140.605222
2,13,1110113,姫川,茅部郡森町字姫川,42.081312,140.591632
2,14,1110114,池田園,亀田郡七飯町字軍川,41.990692,140.700333
2,15,1110115,流山温泉,亀田郡七飯町字東大沼２３６,42.003483,140.716358
2,16,1110116,銚子口,亀田郡七飯町字東大沼,42.015471,140.720656
2,17,1110117,鹿部,茅部郡鹿部町字本別,42.06439,140.771393
2,18,1110118,渡島沼尻,茅部郡森町砂原東４丁目,42.10706,140.747596
2,19,1110119,渡島砂原,茅部郡森町砂原４丁目,42.12164,140.689451
2,20,1110120,掛澗,茅部郡森町砂原西３丁目,42.119205,140.64598
2,21,1110121,尾白内,茅部郡森町字尾白内町,42.111232,140.613449
2,22,1110122,東森,茅部郡森町字港町,42.106823,140.59353
2,23,1110123,森,茅部郡森町字本町,42.108917,140.573846
2,24,1110124,桂川,茅部郡森町字鷲ノ木町,42.1156004,140.5427876
2,25,1110125,石谷,茅部郡森町字本茅部町,42.135519,140.506525
2,26,1110126,本石倉,茅部郡森町字石倉町,42.159668,140.471957
2,27,1110127,石倉,茅部郡森町字石倉町,42.17285,140.458436
2,28,1110128,落部,二海郡八雲町落部,42.187617,140.420755
2,29,1110129,野田生,二海郡八雲町野田生,42.217104,140.37586
2,30,1110130,山越,二海郡八雲町山越,42.231172,140.326593
2,31,1110131,八雲,二海郡八雲町本町,42.253391,140.273342
2,32,1110132,鷲ノ巣,二海郡八雲町花浦,42.278389,140.269919
2,33,1110133,山崎,二海郡八雲町山崎,42.314635,140.2746
2,34,1110134,黒岩,二海郡八雲町黒岩,42.368296,140.288173
2,35,1110135,北豊津,山越郡長万部町字豊津,42.400969,140.297868
2,36,1110136,国縫,山越郡長万部町字国縫,42.439319,140.320885
2,37,1110137,中ノ沢,山越郡長万部町字中の沢,42.477928,140.346077
2,38,1110138,長万部,山越郡長万部町字長万部,42.512477,140.37507
3,38,1110201,長万部,山越郡長万部町字長万部,42.512477,140.37507
3,39,1110202,二股,山越郡長万部町字双葉,42.575869,140.320821
3,40,1110203,蕨岱,山越郡長万部町字蕨岱,42.626353,140.313353
3,41,1110204,黒松内,寿都郡黒松内町字黒松内,42.669608,140.305704
3,42,1110205,熱郛,寿都郡黒松内町字白井川,42.675653,140.375084
3,43,1110206,目名,磯谷郡蘭越町目名町,42.761432,140.465742
3,44,1110207,蘭越,磯谷郡蘭越町蘭越町,42.804542,140.52894
3,45,1110208,昆布,磯谷郡蘭越町昆布町,42.797984,140.596107
3,46,1110209,ニセコ,虻田郡ニセコ町字中央通,42.808746,140.684588
3,47,1110210,比羅夫,虻田郡倶知安町比羅夫,42.84856,140.722615
3,48,1110211,倶知安,虻田郡倶知安町北三条西４丁目,42.90164,140.745471
3,49,1110212,小沢,岩内郡共和町小沢,42.97185,140.677657
3,50,1110213,銀山,余市郡仁木町銀山２丁目,43.040888,140.715321
3,51,1110214,然別,余市郡仁木町然別,43.12551,140.737211
3,52,1110215,仁木,余市郡仁木町字北町１丁目,43.154091,140.770546
3,53,1110216,余市,余市郡余市町黒川町５丁目,43.186558,140.794686
3,54,1110217,蘭島,小樽市蘭島１丁目,43.19651,140.854643
3,55,1110218,塩谷,小樽市塩谷２丁目,43.202406,140.924546
3,56,1110219,小樽,小樽市稲穂２丁目,43.197172,140.993653
4,56,1110301,小樽,小樽市稲穂２丁目,43.197172,140.993653
4,57,1110302,南小樽,小樽市住吉町,43.186529,141.007883
4,58,1110303,小樽築港,小樽市築港,43.180752,141.029051
4,59,1110304,朝里,小樽市朝里１丁目,43.176868,141.063923
4,60,1110305,銭函,小樽市銭函２丁目,43.143403,141.159868
4,61,1110306,ほしみ,札幌市手稲区手稲星置１条９丁目,43.13373,141.191402
4,62,1110307,星置,札幌市手稲区星置１条３丁目,43.132375,141.210856
4,63,1110308,稲穂,札幌市手稲区曙１条３丁目,43.128115,141.222919
4,64,1110309,手稲,札幌市手稲区手稲本町１条４丁目,43.120238,141.243785
4,65,1110310,稲積公園,札幌市手稲区富丘１条４丁目,43.112023,141.257113
4,66,1110311,発寒,札幌市西区発寒９条１３丁目,43.099819,141.277273
4,67,1110312,発寒中央,札幌市西区発寒十条３丁目,43.089271,141.294497
4,68,1110313,琴似,札幌市西区琴似2条2丁目,43.081599,141.307418
4,69,1110314,桑園,札幌市中央区北１１条西１５丁目,43.070744,141.332036
4,70,1110315,札幌,札幌市北区北６条西４丁目,43.068612,141.350768
4,71,1110316,苗穂,札幌市中央区北３条東１３丁目,43.068574,141.377522
4,72,1110317,白石,札幌市白石区平和通3丁目北6,43.054715,141.413612
4,73,1110318,厚別,札幌市厚別区厚別中央５条４丁目,43.045154,141.46369
